TeamNameSpelling,TeamID,,,TEAM,Lower,ID,,,,,,,,,,
,,,,UNLV,unlv,1424,,,,,,,,,,
,,,,Davidson,davidson,1172,,,,,,,,,,
,,,,Old Dominion,old dominion,1330,,,,,,,,,,
,,,,Hofstra,hofstra,1220,,,,,,,,,,
,,,,Iona,iona,1233,,,,,,,,,,
,,,,Fresno St.,fresno st.,1201,,,,,,,,,,
,,,,Chattanooga,chattanooga,1151,,,,,,,,,,
,,,,Toledo,toledo,1405,,,,,,,,,,
,,,,New Mexico St.,new mexico st.,1308,,,,,,,,,,
,,,,UAB,uab,1412,,,,,,,,,,
,,,,Columbia,columbia,1162,,,,,,,,,,
,,,,Belmont,belmont,1125,,,,,,,,,,
,,,,Milwaukee,milwaukee,1454,,,,,,,,,,
,,,,Illinois St.,illinois st.,1229,,,,,,,,,,
,,,,Northeastern,northeastern,1318,,,,,,,,,,
,,,,Ohio,ohio,1325,,,,,,,,,,
,,,,Middle Tennessee,middle tennessee,1292,,,,,,,,,,
,,,,Pepperdine,pepperdine,1337,,,,,,,,,,
,,,,College of Charleston,college of charleston,1158,,,,,,,,,,
,,,,TCU,tcu,1395,,,,,,,,,,
,,,,Grand Canyon,grand canyon,1213,,,,,,,,,,
,,,,Duquesne,duquesne,1182,,,,,,,,,,
,,,,Southern Illinois,southern illinois,1356,,,,,,,,,,
,,,,Louisiana Monroe,louisiana monroe,1419,,,,,,,,,,
,,,,Illinois,illinois,1228,,,,,,,,,,
,,,,Weber St.,weber st.,1451,,,,,,,,,,
,,,,Utah St.,utah st.,1429,,,,,,,,,,
,,,,Siena,siena,1373,,,,,,,,,,
,,,,Louisiana Lafayette,louisiana lafayette,1418,,,,,,,,,,
,,,,Wright St.,wright st.,1460,,,,,,,,,,
,,,,Albany,albany,1107,,,,,,,,,,
,,,,Green Bay,green bay,1453,,,,,,,,,,
,,,,North Florida,north florida,1316,,,,,,,,,,
,,,,IPFW,ipfw,1236,,,,,,,,,,
,,,,Marshall,marshall,1267,,,,,,,,,,
,,,,Nevada,nevada,1305,,,,,,,,,,
,,,,Colorado St.,colorado st.,1161,,,,,,,,,,
,,,,Central Michigan,central michigan,1141,,,,,,,,,,
,,,,Fordham,fordham,1200,,,,,,,,,,
,,,,UNC Asheville,unc asheville,1421,,,,,,,,,,
,,,,Buffalo,buffalo,1138,,,,,,,,,,
,,,,Nebraska Omaha,nebraska omaha,1303,,,,,,,,,,
,,,,Penn St.,penn st.,1336,,,,,,,,,,
,,,,Towson,towson,1406,,,,,,,,,,
,,,,Morehead St.,morehead st.,1287,,,,,,,,,,
,,,,Eastern Michigan,eastern michigan,1185,,,,,,,,,,
,,,,Murray St.,murray st.,1293,,,,,,,,,,
,,,,Massachusetts,massachusetts,1269,,,,,,,,,,
,,,,Vermont,vermont,1436,,,,,,,,,,
,,,,Harvard,harvard,1217,,,,,,,,,,
,,,,High Point,high point,1219,,,,,,,,,,
,,,,Louisiana Tech,louisiana tech,1256,,,,,,,,,,
,,,,Georgia St.,georgia st.,1209,,,,,,,,,,
,,,,Montana,montana,1285,,,,,,,,,,
,,,,DePaul,depaul,1177,,,,,,,,,,
,,,,Missouri,missouri,1281,,,,,,,,,,
,,,,Wyoming,wyoming,1461,,,,,,,,,,
,,,,North Dakota St.,north dakota st.,1295,,,,,,,,,,
,,,,Coastal Carolina,coastal carolina,1157,,,,,,,,,,
,,,,Ball St.,ball st.,1123,,,,,,,,,,
,,,,Elon,elon,1189,,,,,,,,,,
,,,,Tennessee St.,tennessee st.,1398,,,,,,,,,,
,,,,Indiana St.,indiana st.,1232,,,,,,,,,,
,,,,Northern Illinois,northern illinois,1296,,,,,,,,,,
,,,,Western Kentucky,western kentucky,1443,,,,,,,,,,
,,,,Loyola Chicago,loyola chicago,1260,,,,,,,,,,
,,,,Bucknell,bucknell,1137,,,,,,,,,,
,,,,Florida Gulf Coast,florida gulf coast,1195,,,,,,,,,,
,,,,Kent St.,kent st.,1245,,,,,,,,,,
,,,,Eastern Washington,eastern washington,1186,,,,,,,,,,
,,,,Detroit,detroit,1178,,,,,,,,,,
,,,,Oral Roberts,oral roberts,1331,,,,,,,,,,
,,,,Portland,portland,1339,,,,,,,,,,
,,,,Auburn,auburn,1120,,,,,,,,,,
,,,,Washington St.,washington st.,1450,,,,,,,,,,
,,,,East Tennessee St.,east tennessee st.,1190,,,,,,,,,,
,,,,George Mason,george mason,1206,,,,,,,,,,
,,,,UCF,ucf,1416,,,,,,,,,,
,,,,Mercer,mercer,1273,,,,,,,,,,
,,,,East Carolina,east carolina,1187,,,,,,,,,,
,,,,Texas A&M Corpus Chris,texas a&m corpus chris,1394,,,,,,,,,,
,,,,Cal Poly,cal poly,1142,,,,,,,,,,
,,,,Western Michigan,western michigan,1444,,,,,,,,,,
,,,,Lehigh,lehigh,1250,,,,,,,,,,
,,,,Denver,denver,1176,,,,,,,,,,
,,,,Winthrop,winthrop,1457,,,,,,,,,,
,,,,Fairfield,fairfield,1193,,,,,,,,,,
,,,,Tulane,tulane,1408,,,,,,,,,,
,,,,Navy,navy,1298,,,,,,,,,,
,,,,Minnesota,minnesota,1278,,,,,,,,,,
,,,,North Dakota,north dakota,1315,,,,,,,,,,
,,,,Furman,furman,1202,,,,,,,,,,
,,,,Wagner,wagner,1447,,,,,,,,,,
,,,,Wofford,wofford,1459,,,,,,,,,,
,,,,Tennessee Tech,tennessee tech,1399,,,,,,,,,,
,,,,Loyola Marymount,loyola marymount,1258,,,,,,,,,,
,,,,UTEP,utep,1431,,,,,,,,,,
,,,,Eastern Kentucky,eastern kentucky,1184,,,,,,,,,,
,,,,Texas Southern,texas southern,1411,,,,,,,,,,
,,,,FIU,fiu,1198,,,,,,,,,,
,,,,Idaho,idaho,1225,,,,,,,,,,
,,,,IUPUI,iupui,1237,,,,,,,,,,
,,,,Boston College,boston college,1130,,,,,,,,,,
,,,,Pacific,pacific,1334,,,,,,,,,,
,,,,San Francisco,san francisco,1362,,,,,,,,,,
,,,,Missouri St.,missouri st.,1283,,,,,,,,,,
,,,,South Dakota,south dakota,1377,,,,,,,,,,
,,,,St. John's,st. john's,1385,,,,,,,,,,
,,,,Saint Louis,saint louis,1387,,,,,,,,,,
,,,,Texas St.,texas st.,1402,,,,,,,,,,
,,,,Army,army,1119,,,,,,,,,,
,,,,UC Riverside,uc riverside,1415,,,,,,,,,,
,,,,Dartmouth,dartmouth,1171,,,,,,,,,,
,,,,Georgia Southern,georgia southern,1204,,,,,,,,,,
,,,,NJIT,njit,1312,,,,,,,,,,
,,,,Rider,rider,1351,,,,,,,,,,
,,,,Charlotte,charlotte,1150,,,,,,,,,,
,,,,Boston University,boston university,1131,,,,,,,,,,
,,,,Western Carolina,western carolina,1441,,,,,,,,,,
,,,,UNC Greensboro,unc greensboro,1422,,,,,,,,,,
,,,,Canisius,canisius,1145,,,,,,,,,,
,,,,Santa Clara,santa clara,1365,,,,,,,,,,
,,,,Montana St.,montana st.,1286,,,,,,,,,,
,,,,Bowling Green,bowling green,1132,,,,,,,,,,
,,,,Southern,southern,1380,,,,,,,,,,
,,,,Western Illinois,western illinois,1442,,,,,,,,,,
,,,,La Salle,la salle,1247,,,,,,,,,,
,,,,UC Davis,uc davis,1413,,,,,,,,,,
,,,,Radford,radford,1347,,,,,,,,,,
,,,,Tennessee Martin,tennessee martin,1404,,,,,,,,,,
,,,,Sam Houston St.,sam houston st.,1358,,,,,,,,,,
,,,,Saint Peter's,saint peter's,1389,,,,,,,,,,
,,,,Samford,samford,1359,,,,,,,,,,
,,,,Austin Peay,austin peay,1122,,,,,,,,,,
,,,,South Florida,south florida,1378,,,,,,,,,,
,,,,Cal St. Fullerton,cal st. fullerton,1168,,,,,,,,,,
,,,,Gardner Webb,gardner webb,1205,,,,,,,,,,
,,,,Jackson St.,jackson st.,1238,,,,,,,,,,
,,,,San Jose St.,san jose st.,1363,,,,,,,,,,
,,,,Drexel,drexel,1180,,,,,,,,,,
,,,,Lipscomb,lipscomb,1252,,,,,,,,,,
,,,,Norfolk St.,norfolk st.,1313,,,,,,,,,,
,,,,Cal St. Northridge,cal st. northridge,1169,,,,,,,,,,
,,,,Portland St.,portland st.,1340,,,,,,,,,,
,,,,Miami OH,miami oh,1275,,,,,,,,,,
,,,,New Hampshire,new hampshire,1306,,,,,,,,,,
,,,,Manhattan,manhattan,1264,,,,,,,,,,
,,,,Northern Kentucky,northern kentucky,1297,,,,,,,,,,
,,,,Jacksonville,jacksonville,1239,,,,,,,,,,
,,,,Arkansas St.,arkansas st.,1117,,,,,,,,,,
,,,,Drake,drake,1179,,,,,,,,,,
,,,,Troy,troy,1407,,,,,,,,,,
,,,,Air Force,air force,1102,,,,,,,,,,
,,,,Kennesaw St.,kennesaw st.,1244,,,,,,,,,,
,,,,San Diego,san diego,1360,,,,,,,,,,
,,,,UMKC,umkc,1282,,,,,,,,,,
,,,,South Alabama,south alabama,1375,,,,,,,,,,
,,,,Penn,penn,1335,,,,,,,,,,
,,,,Colgate,colgate,1159,,,,,,,,,,
,,,,Appalachian St.,appalachian st.,1111,,,,,,,,,,
,,,,Brown,brown,1135,,,,,,,,,,
,,,,Mount St. Mary's,mount st. mary's,1291,,,,,,,,,,
,,,,Delaware,delaware,1174,,,,,,,,,,
,,,,Eastern Illinois,eastern illinois,1183,,,,,,,,,,
,,,,Hampton,hampton,1214,,,,,,,,,,
,,,,Rutgers,rutgers,1353,,,,,,,,,,
,,,,Loyola MD,loyola md,1259,,,,,,,,,,
,,,,Idaho St.,idaho st.,1226,,,,,,,,,,
,,,,Cornell,cornell,1165,,,,,,,,,,
,,,,Utah Valley,utah valley,1430,,,,,,,,,,
,,,,Incarnate Word,incarnate word,1230,,,,,,,,,,
,,,,North Texas,north texas,1317,,,,,,,,,,
,,,,Rice,rice,1349,,,,,,,,,,
,,,,Fairleigh Dickinson,fairleigh dickinson,1192,,,,,,,,,,
,,,,Sacramento St.,sacramento st.,1170,,,,,,,,,,
,,,,South Carolina St.,south carolina st.,1354,,,,,,,,,,
,,,,Holy Cross,holy cross,1221,,,,,,,,,,
,,,,Youngstown St.,youngstown st.,1464,,,,,,,,,,
,,,,LIU Brooklyn,liu brooklyn,1254,,,,,,,,,,
,,,,Quinnipiac,quinnipiac,1346,,,,,,,,,,
,,,,Stetson,stetson,1391,,,,,,,,,,
,,,,Seattle,seattle,1370,,,,,,,,,,
,,,,Cleveland St.,cleveland st.,1156,,,,,,,,,,
,,,,Jacksonville St.,jacksonville st.,1240,,,,,,,,,,
,,,,Charleston Southern,charleston southern,1149,,,,,,,,,,
,,,,Houston Baptist,houston baptist,1223,,,,,,,,,,
,,,,St. Francis PA,st. francis pa,1384,,,,,,,,,,
,,,,Florida Atlantic,florida atlantic,1194,,,,,,,,,,
,,,,Liberty,liberty,1251,,,,,,,,,,
,,,,Bethune Cookman,bethune cookman,1126,,,,,,,,,,
,,,,Campbell,campbell,1144,,,,,,,,,,
,,,,Alabama St.,alabama st.,1106,,,,,,,,,,
,,,,St. Francis NY,st. francis ny,1383,,,,,,,,,,
,,,,SIU Edwardsville,siu edwardsville,1188,,,,,,,,,,
,,,,North Carolina Central,north carolina central,1300,,,,,,,,,,
,,,,USC Upstate,usc upstate,1367,,,,,,,,,,
,,,,Morgan St.,morgan st.,1288,,,,,,,,,,
,,,,Alabama A&M,alabama a&m,1105,,,,,,,,,,
,,,,Longwood,longwood,1255,,,,,,,,,,
,,,,Marist,marist,1265,,,,,,,,,,
,,,,Niagara,niagara,1310,,,,,,,,,,
,,,,Sacred Heart,sacred heart,1357,,,,,,,,,,
,,,,Binghamton,binghamton,1127,,,,,,,,,,
,,,,The Citadel,the citadel,1154,,,,,,,,,,
,,,,Robert Morris,robert morris,1352,,,,,,,,,,
,,,,Lafayette,lafayette,1248,,,,,,,,,,
,,,,Maryland Eastern Shore,maryland eastern shore,1271,,,,,,,,,,
,,,,UMass Lowell,umass lowell,1262,,,,,,,,,,
,,,,Hartford,hartford,1216,,,,,,,,,,
,,,,Northern Colorado,northern colorado,1294,,,,,,,,,,
,,,,Southern Miss,southern miss,1379,,,,,,,,,,
,,,,Abilene Christian,abilene christian,1101,,,,,,,,,,
,,,,VMI,vmi,1440,,,,,,,,,,
,,,,New Orleans,new orleans,1309,,,,,,,,,,
,,,,Alcorn St.,alcorn st.,1108,,,,,,,,,,
,,,,Howard,howard,1224,,,,,,,,,,
,,,,Southeastern Louisiana,southeastern louisiana,1368,,,,,,,,,,
,,,,McNeese St.,mcneese st.,1270,,,,,,,,,,
,,,,Lamar,lamar,1249,,,,,,,,,,
,,,,Coppin St.,coppin st.,1164,,,,,,,,,,
,,,,Northwestern St.,northwestern st.,1322,,,,,,,,,,
,,,,Central Arkansas,central arkansas,1146,,,,,,,,,,
,,,,Bradley,bradley,1133,,,,,,,,,,
,,,,Savannah St.,savannah st.,1366,,,,,,,,,,
,,,,Nicholls St.,nicholls st.,1311,,,,,,,,,,
,,,,Presbyterian,presbyterian,1342,,,,,,,,,,
,,,,American,american,1110,,,,,,,,,,
,,,,UMBC,umbc,1420,,,,,,,,,,
,,,,Illinois Chicago,illinois chicago,1227,,,,,,,,,,
,,,,North Carolina A&T,north carolina a&t,1299,,,,,,,,,,
,,,,Maine,maine,1263,,,,,,,,,,
,,,,Southeast Missouri St.,southeast missouri st.,1369,,,,,,,,,,
,,,,UTSA,utsa,1427,,,,,,,,,,
,,,,Bryant,bryant,1136,,,,,,,,,,
,,,,Southern Utah,southern utah,1381,,,,,,,,,,
,,,,Northern Arizona,northern arizona,1319,,,,,,,,,,
,,,,Prairie View A&M,prairie view a&m,1341,,,,,,,,,,
,,,,Mississippi Valley St.,mississippi valley st.,1290,,,,,,,,,,
,,,,UT Rio Grande Valley,ut rio grande valley,1410,,,,,,,,,,
,,,,Chicago St.,chicago st.,1152,,,,,,,,,,
,,,,Arkansas Pine Bluff,arkansas pine bluff,1115,,,,,,,,,,
,,,,Delaware St.,delaware st.,1175,,,,,,,,,,
,,,,Central Connecticut,central connecticut,1148,,,,,,,,,,
,,,,Grambling St.,grambling st.,1212,,,,,,,,,,
,,,,Florida A&M,florida a&m,1197,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Gonzaga,gonzaga,1211,,,,,,,,,,
,,,,Houston,houston,1222,,,,,,,,,,
,,,,Kansas,kansas,1242,,,,,,,,,,
,,,,Baylor,baylor,1124,,,,,,,,,,
,,,,Texas Tech,texas tech,1403,,,,,,,,,,
,,,,Arizona,arizona,1112,,,,,,,,,,
,,,,Tennessee,tennessee,1397,,,,,,,,,,
,,,,Kentucky,kentucky,1246,,,,,,,,,,
,,,,Duke,duke,1181,,,,,,,,,,
,,,,UCLA,ucla,1417,,,,,,,,,,
,,,,Villanova,villanova,1437,,,,,,,,,,
,,,,Auburn,auburn,1120,,,,,,,,,,
,,,,Iowa,iowa,1234,,,,,,,,,,
,,,,Purdue,purdue,1345,,,,,,,,,,
,,,,Texas,texas,1400,,,,,,,,,,
,,,,Illinois,illinois,1228,,,,,,,,,,
,,,,Saint Mary's,saint mary's,1388,,,,,,,,,,
,,,,Arkansas,arkansas,1116,,,,,,,,,,
,,,,San Francisco,san francisco,1362,,,,,,,,,,
,,,,Memphis,memphis,1272,,,,,,,,,,
,,,,Virginia Tech,virginia tech,1439,,,,,,,,,,
,,,,Connecticut,connecticut,1163,,,,,,,,,,
,,,,Indiana,indiana,1231,,,,,,,,,,
,,,,LSU,lsu,1261,,,,,,,,,,
,,,,San Diego St.,san diego st.,1361,,,,,,,,,,
,,,,Michigan,michigan,1276,,,,,,,,,,
,,,,Alabama,alabama,1104,,,,,,,,,,
,,,,Wisconsin,wisconsin,1458,,,,,,,,,,
,,,,Ohio St.,ohio st.,1326,,,,,,,,,,
,,,,Boise St.,boise st.,1129,,,,,,,,,,
,,,,Oklahoma,oklahoma,1328,,,,,,,,,,
,,,,North Carolina,north carolina,1314,,,,,,,,,,
,,,,Loyola Chicago,loyola chicago,1260,,,,,,,,,,
,,,,Oklahoma St.,oklahoma st.,1329,,,,,,,,,,
,,,,Wake Forest,wake forest,1448,,,,,,,,,,
,,,,Michigan St.,michigan st.,1277,,,,,,,,,,
,,,,TCU,tcu,1395,,,,,,,,,,
,,,,Murray St.,murray st.,1293,,,,,,,,,,
,,,,Texas A&M,texas a&m,1401,,,,,,,,,,
,,,,Notre Dame,notre dame,1323,,,,,,,,,,
,,,,Colorado St.,colorado st.,1161,,,,,,,,,,
,,,,Dayton,dayton,1173,,,,,,,,,,
,,,,Washington St.,washington st.,1450,,,,,,,,,,
,,,,Utah St.,utah st.,1429,,,,,,,,,,
,,,,Providence,providence,1344,,,,,,,,,,
,,,,North Texas,north texas,1317,,,,,,,,,,
,,,,SMU,smu,1374,,,,,,,,,,
,,,,Florida,florida,1196,,,,,,,,,,
,,,,Seton Hall,seton hall,1371,,,,,,,,,,
,,,,Davidson,davidson,1172,,,,,,,,,,
,,,,Iowa St.,iowa st.,1235,,,,,,,,,,
,,,,Marquette,marquette,1266,,,,,,,,,,
,,,,St. John's,st. john's,1385,,,,,,,,,,
,,,,Miami FL,miami fl,1274,,,,,,,,,,
,,,,Xavier,xavier,1462,,,,,,,,,,
,,,,Syracuse,syracuse,1393,,,,,,,,,,
,,,,VCU,vcu,1433,,,,,,,,,,
,,,,Saint Louis,saint louis,1387,,,,,,,,,,
,,,,Creighton,creighton,1166,,,,,,,,,,
,,,,UAB,uab,1412,,,,,,,,,,
,,,,Mississippi St.,mississippi st.,1280,,,,,,,,,,
,,,,USC,usc,1425,,,,,,,,,,
,,,,Fresno St.,fresno st.,1201,,,,,,,,,,
,,,,Vanderbilt,vanderbilt,1435,,,,,,,,,,
,,,,Vermont,vermont,1436,,,,,,,,,,
,,,,West Virginia,west virginia,1452,,,,,,,,,,
,,,,Kansas St.,kansas st.,1243,,,,,,,,,,
,,,,Oregon,oregon,1332,,,,,,,,,,
,,,,Wyoming,wyoming,1461,,,,,,,,,,
,,,,Tulane,tulane,1408,,,,,,,,,,
,,,,BYU,byu,1140,,,,,,,,,,
,,,,Virginia,virginia,1438,,,,,,,,,,
,,,,Santa Clara,santa clara,1365,,,,,,,,,,
,,,,South Dakota St.,south dakota st.,1355,,,,,,,,,,
,,,,Furman,furman,1202,,,,,,,,,,
,,,,Rutgers,rutgers,1353,,,,,,,,,,
,,,,Missouri St.,missouri st.,1283,,,,,,,,,,
,,,,UNLV,unlv,1424,,,,,,,,,,
,,,,Colorado,colorado,1160,,,,,,,,,,
,,,,Clemson,clemson,1155,,,,,,,,,,
,,,,Northwestern,northwestern,1321,,,,,,,,,,
,,,,Towson,towson,1406,,,,,,,,,,
,,,,Maryland,maryland,1268,,,,,,,,,,
,,,,New Mexico St.,new mexico st.,1308,,,,,,,,,,
,,,,Chattanooga,chattanooga,1151,,,,,,,,,,
,,,,Arizona St.,arizona st.,1113,,,,,,,,,,
,,,,Drake,drake,1179,,,,,,,,,,
,,,,Wichita St.,wichita st.,1455,,,,,,,,,,
,,,,Toledo,toledo,1405,,,,,,,,,,
,,,,Belmont,belmont,1125,,,,,,,,,,
,,,,Richmond,richmond,1350,,,,,,,,,,
,,,,Grand Canyon,grand canyon,1213,,,,,,,,,,
,,,,Penn St.,penn st.,1336,,,,,,,,,,
,,,,Cincinnati,cincinnati,1153,,,,,,,,,,
,,,,St. Bonaventure,st. bonaventure,1382,,,,,,,,,,
,,,,Bradley,bradley,1133,,,,,,,,,,
,,,,Northern Iowa,northern iowa,1320,,,,,,,,,,
,,,,Mississippi,mississippi,1279,,,,,,,,,,
,,,,Iona,iona,1233,,,,,,,,,,
,,,,UCF,ucf,1416,,,,,,,,,,
,,,,Louisiana Tech,louisiana tech,1256,,,,,,,,,,
,,,,Middle Tennessee,middle tennessee,1292,,,,,,,,,,
,,,,DePaul,depaul,1177,,,,,,,,,,
,,,,South Carolina,south carolina,1376,,,,,,,,,,
,,,,Washington,washington,1449,,,,,,,,,,
,,,,Florida St.,florida st.,1199,,,,,,,,,,
,,,,Temple,temple,1396,,,,,,,,,,
,,,,Minnesota,minnesota,1278,,,,,,,,,,
,,,,Nebraska,nebraska,1304,,,,,,,,,,
,,,,Morehead St.,morehead st.,1287,,,,,,,,,,
,,,,Stanford,stanford,1390,,,,,,,,,,
,,,,Liberty,liberty,1251,,,,,,,,,,
,,,,Princeton,princeton,1343,,,,,,,,,,
,,,,Butler,butler,1139,,,,,,,,,,
,,,,Hofstra,hofstra,1220,,,,,,,,,,
,,,,Utah Valley,utah valley,1430,,,,,,,,,,
,,,,George Mason,george mason,1206,,,,,,,,,,
,,,,Nevada,nevada,1305,,,,,,,,,,
,,,,Utah,utah,1428,,,,,,,,,,
,,,,Stephen F. Austin,stephen f. austin,1372,,,,,,,,,,
,,,,Saint Peter's,saint peter's,1389,,,,,,,,,,
,,,,Florida Atlantic,florida atlantic,1194,,,,,,,,,,
,,,,Western Kentucky,western kentucky,1443,,,,,,,,,,
,,,,Southern Illinois,southern illinois,1356,,,,,,,,,,
,,,,Sam Houston St.,sam houston st.,1358,,,,,,,,,,
,,,,Abilene Christian,abilene christian,1101,,,,,,,,,,
,,,,Wofford,wofford,1459,,,,,,,,,,
,,,,Boston College,boston college,1130,,,,,,,,,,
,,,,Kent St.,kent st.,1245,,,,,,,,,,
,,,,North Carolina St.,north carolina st.,1301,,,,,,,,,,
,,,,Texas St.,texas st.,1402,,,,,,,,,,
,,,,Colgate,colgate,1159,,,,,,,,,,
,,,,Louisville,louisville,1257,,,,,,,,,,
,,,,California,california,1143,,,,,,,,,,
,,,,Akron,akron,1103,,,,,,,,,,
,,,,Georgia St.,georgia st.,1209,,,,,,,,,,
,,,,UC Santa Barbara,uc santa barbara,1364,,,,,,,,,,
,,,,Delaware,delaware,1174,,,,,,,,,,
,,,,Seattle,seattle,1370,,,,,,,,,,
,,,,Ohio,ohio,1325,,,,,,,,,,
,,,,College of Charleston,college of charleston,1158,,,,,,,,,,
,,,,Rhode Island,rhode island,1348,,,,,,,,,,
,,,,Longwood,longwood,1255,,,,,,,,,,
,,,,Montana St.,montana st.,1286,,,,,,,,,,
,,,,Jacksonville St.,jacksonville st.,1240,,,,,,,,,,
,,,,Buffalo,buffalo,1138,,,,,,,,,,
,,,,Yale,yale,1463,,,,,,,,,,
,,,,Missouri,missouri,1281,,,,,,,,,,
,,,,UC Irvine,uc irvine,1414,,,,,,,,,,
,,,,Appalachian St.,appalachian st.,1111,,,,,,,,,,
,,,,Drexel,drexel,1180,,,,,,,,,,
,,,,Georgia Tech,georgia tech,1210,,,,,,,,,,
,,,,Saint Joseph's,saint joseph's,1386,,,,,,,,,,
,,,,New Mexico,new mexico,1307,,,,,,,,,,
,,,,Gardner Webb,gardner webb,1205,,,,,,,,,,
,,,,UTEP,utep,1431,,,,,,,,,,
,,,,North Dakota St.,north dakota st.,1295,,,,,,,,,,
,,,,Wagner,wagner,1447,,,,,,,,,,
,,,,UC Riverside,uc riverside,1415,,,,,,,,,,
,,,,Tulsa,tulsa,1409,,,,,,,,,,
,,,,Portland,portland,1339,,,,,,,,,,
,,,,South Alabama,south alabama,1375,,,,,,,,,,
,,,,Jacksonville,jacksonville,1239,,,,,,,,,,
,,,,Mercer,mercer,1273,,,,,,,,,,
,,,,East Tennessee St.,east tennessee st.,1190,,,,,,,,,,
,,,,Coastal Carolina,coastal carolina,1157,,,,,,,,,,
,,,,Hawaii,hawaii,1218,,,,,,,,,,
,,,,Samford,samford,1359,,,,,,,,,,
,,,,VMI,vmi,1440,,,,,,,,,,
,,,,East Carolina,east carolina,1187,,,,,,,,,,
,,,,Louisiana Lafayette,louisiana lafayette,1418,,,,,,,,,,
,,,,Bryant,bryant,1136,,,,,,,,,,
,,,,Georgetown,georgetown,1207,,,,,,,,,,
,,,,Bellarmine,bellarmine,1468,,,,,,,,,,
,,,,Cal St. Fullerton,cal st. fullerton,1168,,,,,,,,,,
,,,,Long Beach St.,long beach st.,1253,,,,,,,,,,
,,,,UNC Wilmington,unc wilmington,1423,,,,,,,,,,
,,,,Oral Roberts,oral roberts,1331,,,,,,,,,,
,,,,Cleveland St.,cleveland st.,1156,,,,,,,,,,
,,,,Northern Kentucky,northern kentucky,1297,,,,,,,,,,
,,,,UNC Greensboro,unc greensboro,1422,,,,,,,,,,
,,,,Norfolk St.,norfolk st.,1313,,,,,,,,,,
,,,,Fordham,fordham,1200,,,,,,,,,,
,,,,Oakland,oakland,1324,,,,,,,,,,
,,,,Winthrop,winthrop,1457,,,,,,,,,,
,,,,Georgia,georgia,1208,,,,,,,,,,
,,,,Weber St.,weber st.,1451,,,,,,,,,,
,,,,Cornell,cornell,1165,,,,,,,,,,
,,,,Monmouth,monmouth,1284,,,,,,,,,,
,,,,Troy,troy,1407,,,,,,,,,,
,,,,Navy,navy,1298,,,,,,,,,,
,,,,Charlotte,charlotte,1150,,,,,,,,,,
,,,,Massachusetts,massachusetts,1269,,,,,,,,,,
,,,,Texas Southern,texas southern,1411,,,,,,,,,,
,,,,Florida Gulf Coast,florida gulf coast,1195,,,,,,,,,,
,,,,Wright St.,wright st.,1460,,,,,,,,,,
,,,,Old Dominion,old dominion,1330,,,,,,,,,,
,,,,Southern Utah,southern utah,1381,,,,,,,,,,
,,,,Illinois St.,illinois st.,1229,,,,,,,,,,
,,,,UMKC,umkc,1282,,,,,,,,,,
,,,,Arkansas St.,arkansas st.,1117,,,,,,,,,,
,,,,Campbell,campbell,1144,,,,,,,,,,
,,,,Tarleton St.,tarleton st.,1470,,,,,,,,,,
,,,,Loyola Marymount,loyola marymount,1258,,,,,,,,,,
,,,,Fort Wayne,fort wayne,1236,,,,,,,,,,
,,,,Indiana St.,indiana st.,1232,,,,,,,,,,
,,,,South Dakota,south dakota,1377,,,,,,,,,,
,,,,Nicholls St.,nicholls st.,1311,,,,,,,,,,
,,,,UC Davis,uc davis,1413,,,,,,,,,,
,,,,Pittsburgh,pittsburgh,1338,,,,,,,,,,
,,,,Valparaiso,valparaiso,1434,,,,,,,,,,
,,,,San Diego,san diego,1360,,,,,,,,,,
,,,,Northern Colorado,northern colorado,1294,,,,,,,,,,
,,,,Oregon St.,oregon st.,1333,,,,,,,,,,
,,,,Harvard,harvard,1217,,,,,,,,,,
,,,,Penn,penn,1335,,,,,,,,,,
,,,,Cal Baptist,cal baptist,1465,,,,,,,,,,
,,,,George Washington,george washington,1203,,,,,,,,,,
,,,,Detroit,detroit,1178,,,,,,,,,,
,,,,Boston University,boston university,1131,,,,,,,,,,
,,,,Niagara,niagara,1310,,,,,,,,,,
,,,,Fairfield,fairfield,1193,,,,,,,,,,
,,,,James Madison,james madison,1241,,,,,,,,,,
,,,,La Salle,la salle,1247,,,,,,,,,,
,,,,Southeast Missouri St.,southeast missouri st.,1369,,,,,,,,,,
,,,,UT Arlington,ut arlington,1426,,,,,,,,,,
,,,,Dartmouth,dartmouth,1171,,,,,,,,,,
,,,,Marist,marist,1265,,,,,,,,,,
,,,,Southern,southern,1380,,,,,,,,,,
,,,,Rider,rider,1351,,,,,,,,,,
,,,,Kennesaw St.,kennesaw st.,1244,,,,,,,,,,
,,,,Eastern Washington,eastern washington,1186,,,,,,,,,,
,,,,Brown,brown,1135,,,,,,,,,,
,,,,Western Illinois,western illinois,1442,,,,,,,,,,
,,,,UNC Asheville,unc asheville,1421,,,,,,,,,,
,,,,High Point,high point,1219,,,,,,,,,,
,,,,Rice,rice,1349,,,,,,,,,,
,,,,South Florida,south florida,1378,,,,,,,,,,
,,,,Marshall,marshall,1267,,,,,,,,,,
,,,,Montana,montana,1285,,,,,,,,,,
,,,,UMBC,umbc,1420,,,,,,,,,,
,,,,LIU Brooklyn,liu brooklyn,1254,,,,,,,,,,
,,,,Stony Brook,stony brook,1392,,,,,,,,,,
